generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
206,0.860089,0.857786,0.863841,0.804627,1.076
207,0.860325,0.857653,0.863198,0.807198,1.079
208,0.860437,0.857121,0.865768,0.812339,1.082
209,0.860527,0.857654,0.865125,0.809769,1.086
210,0.860527,0.857869,0.865125,0.809769,1.089
211,0.860597,0.857587,0.865768,0.812339,1.093
212,0.860694,0.858367,0.865125,0.809769,1.098
213,0.860831,0.858659,0.86641,0.81491,1.101
214,0.860831,0.857915,0.86641,0.81491,1.106
215,0.860831,0.857122,0.86641,0.81491,1.111
216,0.860934,0.858029,0.86641,0.817481,1.117
217,0.86099,0.85935,0.86641,0.804627,1.122
218,0.861,0.858078,0.86641,0.817481,1.126
219,0.861003,0.857644,0.865125,0.807198,1.132
220,0.861282,0.858205,0.865768,0.81491,1.134
221,0.861296,0.858217,0.865768,0.809769,1.137
222,0.861456,0.859034,0.867052,0.81491,1.139
223,0.861659,0.858215,0.867052,0.81491,1.142
224,0.861724,0.859486,0.86641,0.812339,1.145
225,0.861724,0.858244,0.86641,0.812339,1.148
226,0.862046,0.859191,0.867052,0.812339,1.151
227,0.862046,0.859113,0.867052,0.812339,1.153
228,0.862342,0.859913,0.865768,0.817481,1.157
229,0.862342,0.859488,0.865768,0.817481,1.163
230,0.862655,0.858842,0.86641,0.817481,1.168
231,0.862882,0.858737,0.86641,0.817481,1.173
232,0.862944,0.85874,0.86641,0.817481,1.178
233,0.862944,0.860192,0.86641,0.817481,1.183
234,0.862982,0.860082,0.867694,0.812339,1.189
235,0.863057,0.86008,0.86641,0.817481,1.192
236,0.863146,0.859295,0.867052,0.817481,1.197
237,0.863298,0.859829,0.867052,0.820051,1.202
238,0.863298,0.860988,0.867052,0.820051,1.207
239,0.863481,0.859009,0.868337,0.817481,1.212
240,0.863665,0.860659,0.867052,0.817481,1.215
241,0.864035,0.861343,0.867694,0.817481,1.218
242,0.864035,0.859258,0.867694,0.817481,1.221
243,0.864271,0.859826,0.865768,0.817481,1.224
244,0.86468,0.860261,0.869621,0.820051,1.228
245,0.86468,0.861518,0.869621,0.820051,1.235
246,0.864831,0.860549,0.868337,0.820051,1.24
247,0.865002,0.860731,0.868979,0.822622,1.245
248,0.865185,0.861122,0.872832,0.817481,1.25
249,0.865382,0.861934,0.870263,0.822622,1.252
250,0.865382,0.861257,0.870263,0.822622,1.257
251,0.865728,0.861643,0.868979,0.822622,1.261
252,0.865862,0.862365,0.868979,0.822622,1.265
253,0.865862,0.859991,0.868979,0.822622,1.27
254,0.866048,0.861146,0.870906,0.822622,1.274
255,0.866121,0.861573,0.869621,0.822622,1.279
256,0.86615,0.861796,0.869621,0.830334,1.284
257,0.866557,0.862013,0.87219,0.827763,1.288
258,0.867302,0.862669,0.869621,0.827763,1.291
259,0.867567,0.862511,0.876686,0.832905,1.293
260,0.868106,0.86268,0.873475,0.827763,1.297
261,0.868106,0.861403,0.873475,0.827763,1.3
262,0.868173,0.863248,0.875401,0.822622,1.302
263,0.868581,0.861036,0.871548,0.830334,1.305
264,0.869188,0.863014,0.881182,0.830334,1.308
265,0.869188,0.861951,0.881182,0.830334,1.31
266,0.869188,0.861613,0.881182,0.830334,1.313
267,0.869188,0.860438,0.881182,0.830334,1.315
268,0.869751,0.86312,0.881182,0.843188,1.318
269,0.869751,0.862267,0.881182,0.843188,1.323
270,0.869751,0.86231,0.881182,0.843188,1.327
271,0.86993,0.863259,0.876686,0.832905,1.332
272,0.87043,0.861573,0.883109,0.843188,1.335
273,0.870517,0.863341,0.882466,0.840617,1.34
274,0.871139,0.861545,0.883109,0.840617,1.343
275,0.871139,0.864004,0.883109,0.840617,1.346
276,0.871139,0.861477,0.883109,0.840617,1.349
277,0.871265,0.861253,0.884393,0.840617,1.351
278,0.871335,0.862054,0.884393,0.835476,1.354
279,0.871539,0.863046,0.890816,0.830334,1.356
280,0.871539,0.861229,0.890816,0.830334,1.359
281,0.871539,0.861295,0.890816,0.830334,1.361
282,0.871891,0.861027,0.888889,0.843188,1.364
283,0.871891,0.860216,0.888889,0.843188,1.369
284,0.871891,0.862109,0.888889,0.843188,1.373
285,0.873013,0.861425,0.891458,0.886889,1.378
286,0.873013,0.861637,0.891458,0.886889,1.383
287,0.873013,0.860363,0.891458,0.886889,1.388
288,0.873013,0.858365,0.891458,0.886889,1.393
289,0.873504,0.855891,0.894027,0.863753,1.398
290,0.873504,0.859423,0.894027,0.863753,1.401
291,0.873504,0.860766,0.894027,0.863753,1.404
292,0.873652,0.860025,0.895312,0.868895,1.408
293,0.873652,0.858226,0.895312,0.868895,1.41
294,0.874419,0.862052,0.894669,0.902314,1.413
295,0.874419,0.855828,0.894669,0.902314,1.417
296,0.874419,0.859439,0.894669,0.902314,1.422
297,0.874419,0.865111,0.894669,0.902314,1.426
298,0.875016,0.862812,0.898523,0.886889,1.431
299,0.875016,0.859549,0.898523,0.886889,1.433
300,0.875016,0.861828,0.898523,0.886889,1.436
301,0.875414,0.859374,0.905588,0.874036,1.439
302,0.875414,0.85588,0.905588,0.874036,1.442
303,0.875414,0.861308,0.905588,0.874036,1.446
304,0.875815,0.858243,0.894027,0.884319,1.449
305,0.875815,0.86171,0.894027,0.884319,1.452
306,0.876109,0.862432,0.901734,0.899743,1.455
307,0.876109,0.858954,0.901734,0.899743,1.458
308,0.87612,0.863539,0.902376,0.892031,1.462
309,0.87612,0.860015,0.902376,0.892031,1.465
310,0.87612,0.858579,0.902376,0.892031,1.468
311,0.87628,0.860266,0.896596,0.88946,1.471
312,0.87628,0.855424,0.896596,0.88946,1.474
313,0.876295,0.861053,0.893385,0.912596,1.477
314,0.876295,0.855936,0.893385,0.912596,1.483
